parent	child
0001507	0000002
0000001	0000005
0000005	0000006
0000005	0000007
0002719	0000010
0011277	0000010
0010936	0000014
0004299	0000023
0000135	0000026
0012874	0000026
0000135	0000044
0010935	0000069
0010935	0000077
0000119	0000078
0000119	0000079
0000078	0000080
0003110	0000093
0000002	0000098
0000001	0000118
0000118	0000119
0012591	0000127
0000140	0000132
0001892	0000132
0000135	0000134
0000812	0000134
0010460	0000134
0000080	0000135
0008373	0000135
0000812	0000139
0010460	0000139
0100823	0000139
0000812	0000140
0000858	0000140
0010460	0000140
0004320	0000143
0100590	0000143
0000080	0000144
0000118	0000152
0000271	0000153
0000153	0000223
0012638	0000223
0000223	0000224
0000153	0000225
0001892	0000225
0000152	0000234
0000929	0000240
0000929	0000264
0000234	0000271
0000969	0000282
0011799	0000282
0000291	0000287
0000271	0000290
0009124	0000291
0011799	0000291
0000291	0000292
0008887	0000292
0000301	0000297
0001252	0000297
0003011	0000301
0011799	0000301
0000271	0000306
0000271	0000309
0000271	0000315
0000301	0000317
0002411	0000317
0000301	0000338
0005346	0000338
0000598	0000356
0000356	0000357
0000357	0000358
0000598	0000359
0000364	0000360
0000377	0000363
0000598	0000364
0000364	0000365
0000271	0000366
0000357	0000369
0000598	0000370
0000388	0000371
0000356	0000372
0011390	0000375
0000356	0000377
0000377	0000378
0000370	0000388
0012649	0000388
0000388	0000389
0000377	0000394
0000377	0000400
0000372	0000402
0000388	0000403
0002719	0000403
0000365	0000405
0011452	0000405
0000365	0000407
0011389	0000407
0000377	0000411
0000372	0000413
0000366	0000421
0001892	0000421
0004408	0000458
0000152	0000464
0000464	0000465
0005986	0000466
0001324	0000467
0011006	0000467
0000464	0000468
0009126	0000468
0000464	0000470
0000925	0000470
0004296	0000471
0000464	0000472
0001332	0000473
0011006	0000473
0011442	0000473
0000464	0000474
0011425	0000474
0000464	0000475
0000464	0000476
0000118	0000478
0000539	0000483
0004328	0000483
0004328	0000491
0100533	0000491
0012373	0000496
0000315	0000498
0100533	0000498
0000315	0000499
0001595	0000499
0012373	0000501
0012373	0000504
0000504	0000505
0012373	0000508
0000315	0000509
0025337	0000509
0100533	0000509
0030453	0000512
0000315	0000534
0000606	0000534
0001595	0000534
0012373	0000539
0000539	0000540
0000496	0000542
0000539	0000545
0000496	0000549
0000504	0000551
0030637	0000551
0012374	0000553
0000553	0000554
0100533	0000554
0004328	0000559
0100699	0000559
0000496	0000570
0000504	0000572
0004329	0000573
0011885	0000573
0012374	0000591
0000496	0000597
0000118	0000598
0000234	0000600
0000271	0000606
0000504	0000613
0000708	0000613
0000496	0000617
0000504	0000622
0008046	0000630
0011004	0000630
3000036	0000630
0012373	0000632
0000632	0000633
0030453	0000649
0000496	0000657
0002186	0000657
0000504	0000662
0012374	0000667
0000153	0000682
3000050	0000682
0000153	0000683
0000682	0000683
0000703	0000694
0000153	0000703
3000050	0000703
0000682	0000705
0000118	0000707
0012638	0000708
0000708	0000709
0000708	0000710
0000708	0000711
0000708	0000719
0000708	0000721
0000708	0000722
0000708	0000729
0000708	0000732
0000708	0000736
0000708	0000738
0100022	0000743
0000708	0000744
0000708	0000746
0000708	0000751
0100022	0000752
0000708	0000757
0012639	0000759
0000759	0000764
0009121	0000765
0000118	0000769
0000769	0000771
0003011	0000775
0000775	0000776
0100790	0000776
0000818	0000777
0100763	0000777
0010515	0000778
0012211	0000790
0012614	0000790
0000811	0000795
0010461	0000795
0010936	0000795
0000079	0000809
0012243	0000811
0012243	0000812
0000135	0000815
0001939	0000816
0000118	0000818
0000818	0000819
0011014	0000819
0000818	0000820
0002926	0000821
0011025	0000822
0001510	0000823
0008373	0000823
0003117	0000824
0011747	0000824
0100000	0000826
0000818	0000828
0011767	0000829
0000819	0000831
0000855	0000831
0000818	0000834
0011732	0000835
0002926	0000836
0011747	0000837
0030338	0000837
0000824	0000839
0004322	0000839
0008373	0000840
0000847	0000841
0011014	0000842
0040215	0000842
0011767	0000843
0011733	0000846
0000818	0000847
0000847	0000848
0011732	0000849
0011767	0000852
0011772	0000853
0100031	0000854
0011014	0000855
0000831	0000857
0008373	0000858
0000873	0000863
0011751	0000863
0000818	0000864
0002960	0000872
0100646	0000872
0000818	0000873
0000822	0000875
0000831	0000877
0000118	0000924
0009121	0000925
0011843	0000927
0000234	0000929
0009121	0000929
0001367	0000934
0010766	0000934
0100685	0000934
0011842	0000943
0002813	0000944
0011314	0000944
0001574	0000951
0011121	0000958
0002795	0000961
0011354	0000961
0011276	0000965
0007550	0000966
0001933	0000967
0011032	0000969
0025276	0000970
0011138	0000971
0007550	0000975
0001933	0000978
0001933	0000979
0011121	0000980
0011354	0000987
0100699	0000987
0011122	0000989
0011121	0001000
0009124	0001001
0011354	0001001
0000969	0001004
0011276	0001009
0011276	0001014
0002624	0001015
0007394	0001015
0011276	0001025
0100742	0001028
0011121	0001029
0001001	0001031
0008069	0001031
0012031	0001031
0001015	0001043
0001965	0001043
3000036	0001043
0010566	0001054
0011355	0001054
0001367	0001059
0011356	0001059
0000961	0001063
0008069	0001067
0010614	0001067
0100007	0001067
0011121	0001072
0000987	0001075
0011355	0001075
0000501	0001087
0000504	0001123
0002817	0001155
0001155	0001163
0040070	0001163
0001155	0001167
0011297	0001167
0001155	0001171
0100257	0001171
0001155	0001178
0001155	0001191
0003019	0001191
0001197	0001194
0010948	0001195
0011403	0001195
0011425	0001195
0010881	0001196
0000118	0001197
0040064	0001218
0007460	0001226
0011355	0001226
0001597	0001231
0001009	0001232
0001597	0001232
0001155	0001248
0011314	0001248
0012759	0001249
0012638	0001250
0003808	0001252
0001315	0001265
0002493	0001276
0003808	0001276
0002615	0001278
0012332	0001278
0011025	0001279
0011804	0001281
0001324	0001283
0012638	0001283
0001315	0001284
0100022	0001288
0000759	0001291
0100659	0001297
0012638	0001298
0012638	0001311
0012638	0001315
0011804	0001324
0012759	0001328
0100022	0001332
0100022	0001335
0011842	0001367
0001367	0001369
0003549	0001371
0011729	0001371
0011805	0001371
0100261	0001371
0001367	0001373
0002644	0001384
0005262	0001384
0100491	0001384
0000969	0001386
0001367	0001386
0002012	0001392
0001392	0001394
0001392	0001395
0002721	0001400
0100523	0001400
0000822	0001409
0006707	0001409
0025155	0001410
0010985	0001417
0001417	0001419
0001155	0001421
0001446	0001421
0001417	0001423
0000005	0001425
0000005	0001426
0000005	0001427
0000005	0001428
0001437	0001430
0001392	0001433
0001743	0001433
0003271	0001433
0001446	0001435
0001437	0001436
0002814	0001437
0009127	0001437
0025031	0001438
0001437	0001441
0001428	0001442
0001469	0001443
0000006	0001444
0001469	0001445
0002817	0001446
0009127	0001446
0010985	0001450
0000006	0001452
0001466	0001452
0002817	0001454
0001446	0001457
0001454	0001457
0030236	0001460
0000005	0001466
0001446	0001467
0009128	0001467
0003011	0001469
0000006	0001470
0001469	0001471
0000005	0001472
0001470	0001475
0000496	0001477
0000508	0001488
0008049	0001491
0000118	0001507
0004325	0001508
0001507	0001510
0001510	0001511
0004324	0001513
0004325	0001518
0000098	0001519
0004324	0001520
0011420	0001522
0040064	0001528
0100555	0001528
0008897	0001530
0000098	0001533
0004325	0001533
0001551	0001537
0004299	0001537
0004299	0001539
0010991	0001540
0001438	0001541
0010866	0001543
