parent	child
0001507	0000002
0000001	0000005
0000005	0000006
0000005	0000007
0000119	0000078
0000119	0000079
0000078	0000080
0003110	0000093
0000002	0000098
0000001	0000118
0000118	0000119
0000858	0000132
0001892	0000132
0012243	0000132
0000080	0000135
0008373	0000135
0000118	0000152
0000271	0000223
0012638	0000223
0000271	0000225
0001892	0000225
0000152	0000234
0000234	0000271
0000271	0000291
0009124	0000291
0000301	0000297
0003808	0000297
0000271	0000301
0003011	0000301
0000301	0000317
0100022	0000317
0000271	0000338
0000301	0000338
0000598	0000356
0000356	0000357
0000598	0000359
0000364	0000360
0000598	0000364
0000364	0000365
0000598	0000370
0000356	0000372
0000356	0000377
0000370	0000388
0012647	0000388
0000271	0000421
0001892	0000421
0000152	0000464
0000464	0000465
0001324	0000467
0011006	0000467
0000464	0000468
0009126	0000468
0000464	0000470
0009121	0000470
0000464	0000472
0011006	0000473
0011442	0000473
0100022	0000473
0000464	0000474
0011425	0000474
0000464	0000475
0000464	0000476
0000118	0000478
0012373	0000496
0012373	0000501
0012373	0000504
0012373	0000508
0012373	0000539
0012374	0000559
0100699	0000559
0000118	0000598
0000234	0000600
0012373	0000632
0000271	0000682
3000050	0000682
0000271	0000703
3000050	0000703
0000118	0000707
0012638	0000708
0012639	0000759
0000118	0000769
0000769	0000771
0003011	0000775
0000775	0000776
0100790	0000776
0000818	0000777
0100763	0000777
0001939	0000816
0000118	0000818
0000818	0000819
0011014	0000819
0000818	0000820
0011025	0000822
0001510	0000823
0008373	0000823
0003117	0000824
0012503	0000824
0000818	0000828
0000819	0000831
0011014	0000831
0000818	0000834
0008373	0000840
0000818	0000847
0000847	0000848
0008373	0000858
0000873	0000863
0012503	0000863
0000818	0000864
0000818	0000873
0000118	0000924
0011843	0000927
0000234	0000929
0009121	0000929
0001367	0000934
0010766	0000934
0100685	0000934
0011842	0000943
0001574	0000951
0002795	0000961
0011121	0000961
0011032	0000969
0025276	0000970
0011121	0000987
0100699	0000987
0009124	0001001
0011121	0001001
0002817	0001155
0001197	0001194
0010881	0001195
0010948	0001195
0011425	0001195
0000118	0001197
0040064	0001218
0012638	0001250
0011025	0001279
0011804	0001281
0001324	0001283
0012638	0001283
0012638	0001298
0012638	0001311
0012638	0001315
0011804	0001324
0011842	0001367
0001367	0001371
0003549	0001371
0011805	0001371
0100261	0001371
0002012	0001392
0010985	0001417
0001417	0001419
0001417	0001423
0000005	0001425
0000005	0001426
0000005	0001427
0000005	0001428
0002814	0001437
0009127	0001437
0025031	0001438
0001428	0001442
0001469	0001445
0002817	0001446
0009127	0001446
0010985	0001450
0000006	0001452
0001466	0001452
0002817	0001454
0000005	0001466
0003011	0001469
0000006	0001470
0001469	0001471
0000005	0001472
0008049	0001491
0000118	0001507
0001507	0001510
0001510	0001511
0011420	0001522
0040064	0001528
0100555	0001528
0010991	0001540
0001438	0001541
0004298	0001551
0001197	0001557
0001557	0001558
0001197	0001560
0001560	0001561
0001560	0001562
0001560	0001563
0000118	0001574
0011138	0001595
0011138	0001597
0000118	0001608
0001608	0001609
0001608	0001611
0001608	0001612
0001609	0001615
0001608	0001618
0011446	0001618
0001608	0001620
0001608	0001621
0001197	0001622
0001787	0001623
0000118	0001626
0030680	0001627
0011025	0001635
0001608	0001686
0011025	0001693
0011420	0001699
0002012	0001732
0002012	0001743
0100763	0001743
0002814	0001760
0001197	0001787
0001787	0001788
0000969	0001789
0001197	0001789
0001789	0001790
0000118	0001871
0001871	0001872
0001871	0001881
0010987	0001881
0001871	0001892
0001977	0001907
0001881	0001909
0004377	0001909
0010935	0001917
0011034	0001917
0001871	0001928
0001892	0001933
0011276	0001933
0001892	0001934
0000118	0001939
0004360	0001941
0011032	0001944
0004370	0001945
0001939	0001946
0004360	0001948
0004364	0001951
0000819	0001953
0001993	0001953
0000364	0001963
0000234	0001965
0001871	0001977
0001871	0001978
0001941	0001993
0001946	0001993
0012639	0002011
0025031	0002012
0012638	0002015
0012719	0002015
0011458	0002027
0012531	0002027
0012718	0002036
0100790	0002036
0004370	0002045
0004370	0002046
0004370	0002047
0000118	0002086
0012252	0002087
0012252	0002088
0002795	0002091
0002795	0002093
0002795	0002094
0002795	0002099
0100326	0002099
0010876	0002152
0004364	0002157
0000464	0002162
0001595	0002162
0001965	0002162
0012638	0002200
0410008	0002270
0012638	0002315
0012638	0002483
0011804	0002486
0000301	0002491
0003808	0002491
0011442	0002491
0003808	0002509
0009127	0002509
0011442	0002509
0002011	0002514
0010766	0002514
0001315	0002522
0002814	0002522
0012638	0002524
0004404	0002558
0003011	0002578
0012718	0002578
0002012	0002585
0001626	0002597
0001315	0002600
0002814	0002600
0011025	0002615
0002597	0002624
0011842	0002652
0011843	0002653
0012531	0002653
0011843	0002659
0000118	0002664
0004377	0002665
0001197	0002686
0000118	0002715
0010978	0002719
0010978	0002721
0100763	0002733
0011843	0002754
0012647	0002754
0011842	0002763
0002087	0002787
0010766	0002787
0002795	0002792
0002795	0002793
0002086	0002795
0001371	0002803
0011844	0002813
0040068	0002813
0040064	0002814
0040064	0002817
0001371	0002828
0012531	0002829
0010766	0002832
0002795	0002835
0009728	0002859
0100242	0002859
0011792	0002861
0004377	0002863
0001732	0002894
0011793	0002894
0011792	0002898
0001939	0002904
0002904	0002908
0003110	0002913
0011017	0002916
0003110	0002919
0000820	0002926
0010978	0002958
0010978	0002960
0002817	0002973
0002814	0002981
0100013	0003002
0001892	0003010
0000118	0003011
0010876	0003075
0003119	0003077
0003119	0003107
0001939	0003110
0011277	0003110
0001939	0003111
0011025	0003115
0011025	0003116
0000818	0003117
0001939	0003119
0001371	0003121
0003110	0003149
0004364	0003149
0003117	0003152
0003110	0003158
0003117	0003162
0010472	0003163
0003117	0003164
0012285	0003164
0003117	0003165
0100530	0003165
0004404	0003186
0010311	0003187
0011805	0003198
0011805	0003199
0011805	0003201
0011017	0003204
0011017	0003220
0011017	0003254
0001928	0003256
0011013	0003258
0002904	0003265
0001438	0003271
0001324	0003325
0009127	0003325
0012531	0003326
0011842	0003330
0001939	0003343
0004302	0003388
0012638	0003388
0011804	0003394
0009121	0003418
0012531	0003418
0011804	0003457
0010929	0003472
0012638	0003472
0003110	0003491
0012029	0003492
0100530	0003528
0003110	0003529
0001939	0003533
0003110	0003541
0011012	0003541
0000118	0003549
0011804	0003552
0011805	0003560
0025021	0003565
0002904	0003573
0003674	0003577
0003674	0003581
0003581	0003584
0011008	0003587
0003674	0003593
0003581	0003596
0003674	0003621
0003674	0003623
0003110	0003641
0001928	0003645
0011013	0003649
0012823	0003674
0003679	0003676
0003679	0003677
0003679	0003678
0012823	0003679
0003679	0003680
0001324	0003690
0009127	0003690
0003800	0003737
0000005	0003743
0003743	0003744
0000005	0003745
0011804	0003750
0011805	0003761
0002814	0003783
0009127	0003797
0030236	0003797
0003011	0003800
0011804	0003808
0011420	0003811
0012823	0003812
0011420	0003819
0011420	0003826
0003812	0003828
0003812	0003829
0003829	0003831
0002813	0003839
0002817	0003839
0011844	0003839
0002597	0004296
0012718	0004296
0025031	0004298
0010866	0004299
0100790	0004299
0011804	0004302
0011805	0004303
0012243	0004320
0100589	0004320
0000002	0004322
0001510	0004322
0001507	0004323
0004323	0004324
0004323	0004325
